,Number of Chapters,Downloads per Month,Open Access
101,6,16.210526315789473,False
102,9,15.583333333333334,False
103,13,49.04651162790697,False
104,10,24.384615384615383,False
105,7,26.372093023255815,False
106,22,24.894736842105264,False
107,10,86.94871794871794,False
108,10,17.0,False
109,8,11.944444444444445,False
110,8,35.82051282051282,False
111,11,25.71794871794872,False
112,6,26.4390243902439,False
113,9,17.91176470588235,False
114,7,82.6,False
115,13,28.114285714285714,False
116,4,19.375,False
117,10,23.743589743589745,False
118,7,23.085714285714285,False
119,5,11.137931034482758,False
120,9,77.5,False
121,16,75.65853658536585,False
122,8,20.2972972972973,False
123,21,36.292682926829265,False
124,9,41.93939393939394,False
125,17,24.291666666666668,False
126,12,56.97727272727273,False
127,9,29.375,False
128,10,26.676470588235293,False
129,16,51.58536585365854,False
130,11,43.85294117647059,False
131,7,17.875,False
132,6,33.588235294117645,False
133,8,115.91891891891892,False
134,9,15.142857142857142,False
135,11,53.627906976744185,False
136,8,68.3076923076923,False
137,7,11.961538461538462,False
138,17,69.88888888888889,False
139,23,116.57777777777778,False
140,12,19.257142857142856,False
141,6,16.3125,False
142,19,101.7560975609756,False
143,13,79.54347826086956,False
144,13,222.07894736842104,False
145,16,77.02222222222223,False
146,16,45.073170731707314,False
147,9,24.743589743589745,False
148,8,12.157894736842104,False
149,8,9.7,False
150,7,12.485714285714286,False
151,10,20.82758620689655,False
152,8,55.73684210526316,False
153,6,12.447368421052632,False
154,16,137.4090909090909,False
155,15,142.609756097561,False
156,8,31.11627906976744,False
157,7,76.82222222222222,False
158,10,65.27272727272727,False
159,12,94.68571428571428,False
160,9,35.15909090909091,False
161,10,19.59375,False
162,11,12.576923076923077,False
163,6,15.205882352941176,False
164,8,22.76923076923077,False
165,7,14.5,False
166,13,49.63157894736842,False
167,5,14.17142857142857,False
168,6,63.08571428571429,False
169,14,26.235294117647058,False
170,8,21.743589743589745,False
171,8,26.692307692307693,False
172,9,30.88888888888889,False
173,5,8.32,False
174,12,18.25,False
175,8,32.23684210526316,False
176,7,17.83783783783784,False
177,8,81.5609756097561,False
178,5,27.55263157894737,False
179,0,56.75,False
180,0,75.20833333333333,False
181,9,43.75,False
182,5,20.89189189189189,False
183,14,62.5,False
184,10,22.513513513513512,False
185,10,199.6153846153846,False
186,30,183.75,False
187,9,194.22857142857143,False
188,12,20.36,False
189,8,58.7037037037037,False
190,8,18.625,False
191,5,10.620689655172415,False
192,7,62.95,False
193,8,16.11111111111111,False
194,8,19.833333333333332,False
195,7,17.47222222222222,False
196,9,75.22727272727273,False
197,7,17.47826086956522,False
198,9,27.87878787878788,False
199,26,121.73170731707317,False
200,9,35.357142857142854,False
201,8,14.6875,False
202,10,336.85,False
203,12,80.11111111111111,False
204,11,66.64444444444445,False
205,14,180.3658536585366,False
206,6,8.8125,False
207,11,34.638888888888886,False
208,7,23.57894736842105,False
209,8,314.1842105263158,False
210,19,93.46666666666667,False
211,8,77.19565217391305,False
212,8,48.69565217391305,False
213,10,66.28888888888889,False
214,10,121.08888888888889,False
215,11,18.303030303030305,False
216,15,42.60526315789474,False
217,15,50.02439024390244,False
218,8,32.486486486486484,False
219,11,47.46666666666667,False
220,13,40.78378378378378,False
221,16,104.4,False
222,11,43.35897435897436,False
223,26,66.97619047619048,False
224,6,10.482758620689655,False
225,9,11.444444444444445,False
226,9,17.02777777777778,False
227,16,37.35897435897436,False
228,11,61.55555555555556,False
229,13,82.375,False
230,13,29.22222222222222,False
231,8,17.346153846153847,False
232,14,22.0625,False
233,15,39.75,False
234,9,208.39473684210526,False
235,0,15.444444444444445,False
236,8,18.28125,False
237,8,22.2972972972973,False
